K,n,mean_risk,median_risk,accept,repair_or_rerank,reject_or_regenerate,mean_risk_delta,median_risk_delta,aggregate_reduction_pct,mean_per_clip_reduction_pct,median_per_clip_reduction_pct,finite_baseline_count,improved_count
1,105,35.32350113083712,21.278957769334525,25,67,13,,,,,,,
8,105,13.581605680174432,0.0,78,18,9,,,,,,,
expressive_K1,28,20.964166888259495,21.71511353799177,9,19,0,,,,,,,
expressive_K8,28,1.413569396189741,0.0,28,0,0,,,,,,,
locomotion_K1,56,19.242108777693165,19.05809867198209,15,41,0,,,,,,,
locomotion_K8,56,2.5247331227042964,0.0,49,7,0,,,,,,,
static_K1,7,7.560878374601956,8.648444615994563,1,6,0,,,,,,,
static_K8,7,8.648444615994563,8.648444615994563,0,7,0,,,,,,,
whole_body_K1,14,142.24905040668577,155.52089953183656,0,1,13,,,,,,,
whole_body_K8,14,84.61174901011428,89.77993165827365,1,4,9,,,,,,,
K8_vs_K1_paired,105,,,,,,-21.74189545066269,-16.67338811561696,61.550794102009874,55.062569579287455,99.99999999999999,93,81
expressive_K8_vs_K1_paired,28,,,,,,-19.550597492069755,-18.87109443753847,93.25721168065411,90.98264235236235,100.0,24,24
locomotion_K8_vs_K1_paired,56,,,,,,-16.71737565498887,-14.629020143128038,86.87912457063359,67.00631979893645,100.0,48,46
static_K8_vs_K1_paired,7,,,,,,1.0875662413926068,0.0,-14.38412559373913,-105.03006031555832,0.0,7,0
whole_body_K8_vs_K1_paired,14,,,,,,-57.63730139657146,-35.327525221064775,40.51858429408714,32.58161616264261,21.68079630898304,14,11
