clip,reference,K,frames,active_frames,fell,fall_frame,track_seconds,mean_tracking_rmse,mean_root_error,mean_action_norm,mean_torque_saturation_frac,final_root_z,init_reference_pose
hrb_001_forward_walk_Kimodo,hrb_001_forward_walk_Kimodo,1,199,173,True,173,3.46,0.16265474122823906,0.6144769399698404,7.5326226157512925,0.0,0.5343197982153645,True
hrb_002_backward_walk_Kimodo,hrb_002_backward_walk_Kimodo,1,199,199,False,199,3.98,0.12648074804397919,0.3086485206864546,4.483029827084626,0.0,0.7478627841552202,True
hrb_003_side_shuffle_left_Kimodo,hrb_003_side_shuffle_left_Kimodo,1,199,123,True,123,2.46,0.27284688606386526,0.6045561219915515,12.14053506730493,0.0,0.527537933425772,True
hrb_004_side_shuffle_right_Kimodo,hrb_004_side_shuffle_right_Kimodo,1,199,86,True,86,1.72,0.21387551404886143,0.11506597970459259,8.17029145572984,0.0,0.5429040150084032,True
hrb_005_turn_in_place_Kimodo,hrb_005_turn_in_place_Kimodo,1,199,103,True,103,2.06,0.25467547486365244,0.046561106009135295,8.905645272708425,0.0,0.5266694074221803,True
hrb_006_march_high_knees_Kimodo,hrb_006_march_high_knees_Kimodo,1,199,199,False,199,3.98,0.2272441195321764,0.2625881558940651,11.619294963313127,0.0,0.8206245256763828,True
hrb_007_vertical_jump_Kimodo,hrb_007_vertical_jump_Kimodo,1,199,199,False,199,3.98,0.086743877746869,0.0711739044682867,6.740524577503468,0.0,0.7849460615639936,True
hrb_008_broad_jump_Kimodo,hrb_008_broad_jump_Kimodo,1,199,199,False,199,3.98,0.07994182868787476,0.03630383820842147,4.115416330979965,0.0,0.7842453997612157,True
hrb_009_one_leg_hop_right_Kimodo,hrb_009_one_leg_hop_right_Kimodo,1,199,199,False,199,3.98,0.14071214306150584,0.06920238873642763,6.965438125212993,0.0,0.7770846791583514,True
hrb_010_one_leg_hop_left_Kimodo,hrb_010_one_leg_hop_left_Kimodo,1,199,199,False,199,3.98,0.16006369814836804,0.20462729379621997,8.723989710320422,0.0,0.7940532473309039,True
hrb_011_skip_forward_Kimodo,hrb_011_skip_forward_Kimodo,1,199,199,False,199,3.98,0.16722365791200364,0.6378430409704958,6.665967314791043,0.0,0.8223706970727724,True
hrb_012_lateral_bound_Kimodo,hrb_012_lateral_bound_Kimodo,1,199,114,True,114,2.2800000000000002,0.3028603231877863,0.46449115462769647,12.208001864255948,0.0,0.5432146552504223,True
hrb_013_forward_lunge_Kimodo,hrb_013_forward_lunge_Kimodo,1,199,78,True,78,1.56,0.13770335410217516,0.042181437005749514,7.944363439380715,0.0,0.5494899110602749,True
hrb_014_quick_stop_Kimodo,hrb_014_quick_stop_Kimodo,1,199,60,True,60,1.2,0.2952214618680374,0.8089231928204709,9.66816597189321,0.0,0.5485100867074646,True
