set,video,poster,label,short,seconds
kimodo_repair_candidates_review,assets/videos/kimodo_repair_candidates_review/repair_audit_original__dynamic__forward_walk.mp4,assets/video_posters/kimodo_repair_candidates_review/repair_audit_original__dynamic__forward_walk.jpg,original failed,forward_walk,3.98
kimodo_repair_candidates_review,assets/videos/kimodo_repair_candidates_review/repair_audit_original__loco_manip__open_door.mp4,assets/video_posters/kimodo_repair_candidates_review/repair_audit_original__loco_manip__open_door.jpg,original failed,open_door,3.98
kimodo_repair_candidates_review,assets/videos/kimodo_repair_candidates_review/repair_audit_original__balance__stumble_left.mp4,assets/video_posters/kimodo_repair_candidates_review/repair_audit_original__balance__stumble_left.jpg,original failed,stumble_left,3.98
kimodo_repair_candidates_review,assets/videos/kimodo_repair_candidates_review/repair_audit_original__balance__stumble_right.mp4,assets/video_posters/kimodo_repair_candidates_review/repair_audit_original__balance__stumble_right.jpg,original failed,stumble_right,3.98
kimodo_repair_candidates_review,assets/videos/kimodo_repair_candidates_review/repair_audit_original__communication__wave.mp4,assets/video_posters/kimodo_repair_candidates_review/repair_audit_original__communication__wave.jpg,original failed,wave,3.98
kimodo_repair_candidates_review,assets/videos/kimodo_repair_candidates_review/repair_audit_original__athletic__split_squat_jump.mp4,assets/video_posters/kimodo_repair_candidates_review/repair_audit_original__athletic__split_squat_jump.jpg,original failed,split_squat_jump,3.98
kimodo_repair_candidates_review,assets/videos/kimodo_repair_candidates_review/repair_audit_repaired__dynamic__forward_walk.mp4,assets/video_posters/kimodo_repair_candidates_review/repair_audit_repaired__dynamic__forward_walk.jpg,repaired,forward_walk,5.00
kimodo_repair_candidates_review,assets/videos/kimodo_repair_candidates_review/repair_audit_repaired__loco_manip__open_door.mp4,assets/video_posters/kimodo_repair_candidates_review/repair_audit_repaired__loco_manip__open_door.jpg,repaired,open_door,5.00
kimodo_repair_candidates_review,assets/videos/kimodo_repair_candidates_review/repair_audit_repaired__balance__stumble_left.mp4,assets/video_posters/kimodo_repair_candidates_review/repair_audit_repaired__balance__stumble_left.jpg,repaired,stumble_left,5.00
kimodo_repair_candidates_review,assets/videos/kimodo_repair_candidates_review/repair_audit_repaired__balance__stumble_right.mp4,assets/video_posters/kimodo_repair_candidates_review/repair_audit_repaired__balance__stumble_right.jpg,repaired,stumble_right,5.00
kimodo_repair_candidates_review,assets/videos/kimodo_repair_candidates_review/repair_audit_repaired__communication__wave.mp4,assets/video_posters/kimodo_repair_candidates_review/repair_audit_repaired__communication__wave.jpg,repaired,wave,5.00
kimodo_repair_candidates_review,assets/videos/kimodo_repair_candidates_review/repair_audit_repaired__athletic__split_squat_jump.mp4,assets/video_posters/kimodo_repair_candidates_review/repair_audit_repaired__athletic__split_squat_jump.jpg,repaired,split_squat_jump,5.00
