set,video,poster,label,short,seconds
kimodo_failure_candidates_review,assets/videos/kimodo_failure_candidates_review/torque_root__hrb_002_backward_walk__root7353N.mp4,assets/video_posters/kimodo_failure_candidates_review/torque_root__hrb_002_backward_walk__root7353N.jpg,torque/root,backward_walk,3.98
kimodo_failure_candidates_review,assets/videos/kimodo_failure_candidates_review/self_contact__hrb_046_press_panel__self73pct.mp4,assets/video_posters/kimodo_failure_candidates_review/self_contact__hrb_046_press_panel__self73pct.jpg,self-contact,press_panel,3.98
kimodo_failure_candidates_review,assets/videos/kimodo_failure_candidates_review/support_artifact__hrb_018_happy_dance__artifact0p57.mp4,assets/video_posters/kimodo_failure_candidates_review/support_artifact__hrb_018_happy_dance__artifact0p57.jpg,contact artifact,happy_dance,3.98
kimodo_failure_candidates_review,assets/videos/kimodo_failure_candidates_review/torque_root__hrb_053_tray_walk__root11211N.mp4,assets/video_posters/kimodo_failure_candidates_review/torque_root__hrb_053_tray_walk__root11211N.jpg,torque/root,tray_walk,3.8
kimodo_failure_candidates_review,assets/videos/kimodo_failure_candidates_review/self_contact__hrb_079_point_left__self100pct.mp4,assets/video_posters/kimodo_failure_candidates_review/self_contact__hrb_079_point_left__self100pct.jpg,self-contact,point_left,3.98
kimodo_failure_candidates_review,assets/videos/kimodo_failure_candidates_review/contact_artifact__hrb_088_duck_under_bar__artifact0p55.mp4,assets/video_posters/kimodo_failure_candidates_review/contact_artifact__hrb_088_duck_under_bar__artifact0p55.jpg,contact artifact,duck_under_bar,3.98
kimodo_failure_candidates_review,assets/videos/kimodo_failure_candidates_review/torque_root__hrb_048_lean_left_reach__root5616N.mp4,assets/video_posters/kimodo_failure_candidates_review/torque_root__hrb_048_lean_left_reach__root5616N.jpg,torque/root,lean_left_reach,3.9
kimodo_failure_candidates_review,assets/videos/kimodo_failure_candidates_review/self_contact__hrb_076_narrow_stance__self100pct.mp4,assets/video_posters/kimodo_failure_candidates_review/self_contact__hrb_076_narrow_stance__self100pct.jpg,self-contact,narrow_stance,3.98
kimodo_failure_candidates_review,assets/videos/kimodo_failure_candidates_review/support_proxy__hrb_085_step_over_right__support14pct.mp4,assets/video_posters/kimodo_failure_candidates_review/support_proxy__hrb_085_step_over_right__support14pct.jpg,support proxy,step_over_right,3.98
kimodo_failure_candidates_review,assets/videos/kimodo_failure_candidates_review/torque__hrb_025_air_guitar__torque2p96x.mp4,assets/video_posters/kimodo_failure_candidates_review/torque__hrb_025_air_guitar__torque2p96x.jpg,torque,air_guitar,3.98
kimodo_failure_candidates_review,assets/videos/kimodo_failure_candidates_review/self_contact__hrb_066_single_leg_balance_left__self40pct.mp4,assets/video_posters/kimodo_failure_candidates_review/self_contact__hrb_066_single_leg_balance_left__self40pct.jpg,self-contact,single_leg_balance_left,3.98
kimodo_failure_candidates_review,assets/videos/kimodo_failure_candidates_review/trackability__hrb_051_carry_box__fell2p78s.mp4,assets/video_posters/kimodo_failure_candidates_review/trackability__hrb_051_carry_box__fell2p78s.jpg,trackability,carry_box,2.78
kimodo_success_candidates_review,assets/videos/kimodo_success_candidates_review/success__hrb_071_ankle_sway__physical_pass_no_fall.mp4,assets/video_posters/kimodo_success_candidates_review/success__hrb_071_ankle_sway__physical_pass_no_fall.jpg,balance,ankle_sway,3.98
kimodo_success_candidates_review,assets/videos/kimodo_success_candidates_review/success__hrb_075_catch_balance_arms__physical_pass_no_fall.mp4,assets/video_posters/kimodo_success_candidates_review/success__hrb_075_catch_balance_arms__physical_pass_no_fall.jpg,balance,catch_balance,3.98
kimodo_success_candidates_review,assets/videos/kimodo_success_candidates_review/success__hrb_016_moonwalk__physical_pass_no_fall.mp4,assets/video_posters/kimodo_success_candidates_review/success__hrb_016_moonwalk__physical_pass_no_fall.jpg,dance,moonwalk,3.98
kimodo_success_candidates_review,assets/videos/kimodo_success_candidates_review/success__hrb_021_celebration_pump__physical_pass_no_fall.mp4,assets/video_posters/kimodo_success_candidates_review/success__hrb_021_celebration_pump__physical_pass_no_fall.jpg,dance,celebration,3.98
kimodo_success_candidates_review,assets/videos/kimodo_success_candidates_review/success__hrb_054_push_cart__physical_pass_no_fall.mp4,assets/video_posters/kimodo_success_candidates_review/success__hrb_054_push_cart__physical_pass_no_fall.jpg,loco-manip,push_cart,3.98
kimodo_success_candidates_review,assets/videos/kimodo_success_candidates_review/success__hrb_057_close_door__physical_pass_no_fall.mp4,assets/video_posters/kimodo_success_candidates_review/success__hrb_057_close_door__physical_pass_no_fall.jpg,loco-manip,close_door,3.98
kimodo_success_candidates_review,assets/videos/kimodo_success_candidates_review/success__hrb_058_handoff_give__physical_pass_no_fall.mp4,assets/video_posters/kimodo_success_candidates_review/success__hrb_058_handoff_give__physical_pass_no_fall.jpg,loco-manip,handoff_give,3.98
kimodo_success_candidates_review,assets/videos/kimodo_success_candidates_review/success__hrb_041_reach_overhead__physical_pass_no_fall.mp4,assets/video_posters/kimodo_success_candidates_review/success__hrb_041_reach_overhead__physical_pass_no_fall.jpg,manipulation,reach_overhead,3.98
kimodo_success_candidates_review,assets/videos/kimodo_success_candidates_review/success__hrb_045_screwdriver_twist__physical_pass_no_fall.mp4,assets/video_posters/kimodo_success_candidates_review/success__hrb_045_screwdriver_twist__physical_pass_no_fall.jpg,manipulation,screwdriver,3.98
kimodo_success_candidates_review,assets/videos/kimodo_success_candidates_review/success__hrb_050_scan_package__physical_pass_no_fall.mp4,assets/video_posters/kimodo_success_candidates_review/success__hrb_050_scan_package__physical_pass_no_fall.jpg,manipulation,scan_package,3.98
kimodo_success_candidates_review,assets/videos/kimodo_success_candidates_review/success__hrb_082_yield_step__physical_pass_no_fall.mp4,assets/video_posters/kimodo_success_candidates_review/success__hrb_082_yield_step__physical_pass_no_fall.jpg,communication,yield_step,3.98
kimodo_success_candidates_review,assets/videos/kimodo_success_candidates_review/success__hrb_087_high_step_cables__physical_pass_no_fall.mp4,assets/video_posters/kimodo_success_candidates_review/success__hrb_087_high_step_cables__physical_pass_no_fall.jpg,terrain,high_step,3.98
