group,n,mean_risk,median_risk,physical_pass_count,presentation_pass_count,semantic_supported_count,sonic_no_fall_count,mean_sonic_track_seconds,mean_sonic_rmse,mean_selected_minus_k1_track_seconds,mean_selected_minus_k8_track_seconds
selector=K1_first,100,43.09381583330325,25.879372457150716,49,18,22,12,2.222,0.29741961921021354,0.0,-0.16520000000000004
selector=K1_first|category=athletic_stress,8,139.54726368745804,140.99402592206445,0,0,0,0,1.71,0.332915060540381,0.0,0.009999999999999981
selector=K1_first|category=balance_recovery,12,13.029291090759708,8.882232834145851,10,0,0,5,2.9500000000000006,0.22994707909294418,0.0,-0.4216666666666667
selector=K1_first|category=communication_safety,8,12.962315163750901,8.648444615994563,7,7,7,6,4.345000000000001,0.1412449974401006,0.0,-0.6225
selector=K1_first|category=dance_expressive,12,16.704876856434737,15.754451338538146,8,4,5,0,1.9966666666666664,0.3075583332278518,0.0,-0.1533333333333334
selector=K1_first|category=dynamic_locomotion,14,20.89129734509897,21.975928385857422,9,7,7,0,1.9542857142857142,0.3555250439471383,0.0,-0.31142857142857144
selector=K1_first|category=floor_low_posture,12,126.13861079301955,153.8413985104741,2,0,3,0,1.5133333333333334,0.29266145350828604,0.0,-0.3666666666666667
selector=K1_first|category=loco_manipulation,14,26.665191098483962,26.865040207230017,6,0,0,1,1.9328571428571428,0.3382828594819068,0.0,-0.30571428571428577
selector=K1_first|category=manipulation_stance,12,25.704843833314357,28.038445331333712,5,0,0,0,2.1533333333333333,0.28397082937253626,0.0,0.41
selector=K1_first|category=terrain_obstacle,8,30.57283042851904,32.65355354457615,2,0,0,0,1.9975,0.3582148083439311,0.0,0.42500000000000004
selector=K1_first|semantic=forced_proxy_not_prompt_following,78,45.88017678509126,27.867077575944244,31,0,0,6,2.092820512820513,0.31189564908567613,0.0,-0.13871794871794874
selector=K1_first|semantic=supported_proxy,22,33.2148997315094,15.177489583213355,18,18,22,6,2.68,0.246095513288119,0.0,-0.25909090909090915
selector=K8_best_of_8,100,10.199369900922239,0.0,89,20,22,15,2.3872000000000004,0.2723327885130026,0.16520000000000004,0.0
selector=K8_best_of_8|category=athletic_stress,8,39.1724863053041,0.0,4,0,0,0,1.7000000000000002,0.3626994980184515,-0.009999999999999981,0.0
selector=K8_best_of_8|category=balance_recovery,12,4.324222307997282,4.324222307997282,12,0,0,6,3.3716666666666675,0.18450583460066805,0.4216666666666667,0.0
selector=K8_best_of_8|category=communication_safety,8,7.567389038995243,8.648444615994563,8,7,7,7,4.9675,0.10454109297899106,0.6225,0.0
