src,width,height,frames,fps,duration_s,mean_luma,mean_luma_std,mean_frame_diff,red_pixel_fraction,suspect
assets/videos/kimodo_official/kimodo_g1_text_loco.mp4,2560,1312,150,30.0,5.0,246.767,27.665,2.378,0.0,
assets/videos/kimodo_repair_rescues/rescue__dynamic_locomotion__hrb_001_forward_walk__3p46s_to_4p00s.mp4,644,360,199,50.0,3.98,70.825,22.626,12.443,0.013747,
assets/videos/kimodo_repair_rescues/rescue__loco_manipulation__hrb_056_open_door__2p62s_to_4p00s.mp4,644,360,199,50.0,3.98,70.141,21.048,12.287,0.018465,
assets/videos/kimodo_repair_rescues/rescue__athletic_stress__hrb_097_split_squat_jump__3p42s_to_4p00s.mp4,644,360,199,50.0,3.98,70.522,21.736,12.016,0.019118,
assets/videos/kimodo_failures_selected/torque_root_wrench__hrb_062_inspect_machine__torque12p78x_rootforce6901N.mp4,640,360,199,50.0,3.98,68.576,13.744,9.63,0.00696,
assets/videos/kimodo_failures_selected/self_contact__hrb_005_turn_in_place__selfcontact75pct_torque18p86x.mp4,640,360,199,50.0,3.98,68.62,14.217,8.604,0.008634,
assets/videos/kimodo_failures_selected/nonfoot_floor__hrb_063_open_drawer__nonfoot10p83pct_rootforce26682N_noearlyterm.mp4,640,360,199,50.0,3.98,68.598,14.046,10.681,0.009266,
assets/videos/kimodo_failures_selected/support_proxy__hrb_007_vertical_jump__supportoutside96p74pct.mp4,640,360,199,50.0,3.98,68.275,12.19,6.026,0.009531,
assets/videos/kimodo_failures_selected/trackability__hrb_001_forward_walk__sonic_fell3p46s_torque4p29x_rootforce6593N.mp4,640,360,199,50.0,3.98,68.87,15.306,11.2,0.005973,
assets/videos/kimodo_failures_selected/contact_artifact__hrb_089_slope_up__contactartifact0p55_rootforce7350N.mp4,640,360,199,50.0,3.98,68.604,13.824,10.423,0.007292,
assets/videos/kimodo_success_selected/success__hrb_008_broad_jump__physical_pass_sonic_no_fall.mp4,640,360,199,50.0,3.98,68.448,12.581,6.026,0.010239,
